Season Number,Episode Number,Pitch Number,Startup Name,Industry,Business Description,Pitchers Gender,Entrepreneur Names,Company Website,Original Ask Amount,Valuation Requested,Got Deal,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of sharks in deal,Investment Amount Per Shark,Equity Per Shark,Barbara Corcoran Investment Amount,Barbara Corcoran Investment Equity,Mark Cuban Investment Amount,Mark Cuban Investment Equity,Lori Greiner Investment Amount,Lori Greiner Investment Equity,Robert Herjavec Investment Amount,Robert Herjavec Investment Equity,Daymond John Investment Amount,Daymond John Investment Equity,Kevin O Leary Investment Amount,Kevin O Leary Investment Equity,Guest Investment Amount,Guest Investment Equity,Guest Name,Barbara Corcoran Present,Mark Cuban Present,Lori Greiner Present,Robert Herjavec Present,Daymond John Present,Kevin O Leary Present
2,5,83,NewEraBrands,Fashion/Beauty,New Era Brands - Novelties contact lens cases,Male,Bob Kroupa,,500000,1666667,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
2,5,84,ThinGloss,Fashion/Beauty,Thin Gloss - Personal Care and Cosmetics,Female,April Morris,,80000,400000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
2,6,85,SweepEasy,Lifestyle/Home,Sweep Easy - Storage and Cleaning Products,Male,Shane Pannell,http://buysweepeasy.com/,40000,160000,1,75000,33,227273,1,75000,33,,,,,,,,,75000,33,,,,,,1,0,0,1,1,1
2,6,86,DaisyCakes,Food and Beverage,Daisy Cakes - Specialty Food,Female,Kim Nelson,https://www.ilovedaisycakes.com/,50000,200000,1,50000,25,200000,1,50000,25,50000,25,,,,,,,,,,,,,,1,0,0,1,1,1
2,6,87,HotMamaGowns,Fashion/Beauty,Hot Mama Gowns - Maternity gowns,Female,Deidrea Haysel,http://www.hotmamagowns.com/,30000,150000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
2,6,88,CaddySwag,Fitness/Sports/Outdoors,Caddy Swag - Golf Products,Mixed Team,Melissa_ Ben Fossey,,60000,300000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
2,7,89,Hydromax,Fitness/Sports/Outdoors,Hydromax - Fitness Apparel and Accessories,Male,Chris Spencer,http://www.hydromaxsystem.com/,50000,200000,1,50000,50,100000,1,50000,50,,,,,,,,,,,,,50000,50,Jeff Foxworthy,1,0,0,1,1,1
2,7,90,CarsikBib,Children/Education,Carsik Bib - Baby and Child Care,Male,Les Cookson,http://www.carsikbib.com,30000,200000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
2,7,91,Ecomowers,Green/CleanTech,Ecomowers - Gardening mower,Male,Humphrey,http://www.ecomowers.com/,90000,450000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
2,7,92,Games2U,Media/Entertainment,Games2U - Entertainment,Male,Stuart_ David Pikoff,http://www.g2u.com/,500000,5000000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
2,8,93,HyConn,Uncertain/Other,HyConn - Productivity Tools fire hydrant,Male,Jeff Stroope,http://www.hy-conn.com/,500000,1250000,1,1250000,100,1250000,1,1250000,100,,,1250000,100,,,,,,,,,,,,1,1,0,1,1,1
2,8,94,Origaudio,Electronics,Origaudio - Electronics portable speakers,Male,Jason Lucash_ Michael Szymczak,http://www.origaudio.com,150000,1000000,1,150000,15,1000000,1,150000,15,,,,,,,150000,15,,,,,,,,1,1,0,1,1,1
2,8,95,ManCandle,Lifestyle/Home,Man Candle - Home Accessories,Male,Johnson Bailey,,50000,200000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
2,8,96,OriginalRunnerCompany,Lifestyle/Home,Original Runner Company - Weddings,Female,Julie Goldman,http://www.originalrunners.com/,250000,1666667,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
2,9,97,AldoOrtaJewelry,Fashion/Beauty,Aldo Orta Jewelry - Women's Accessories,Male,Aldo Orta,http://www.aojewelry.com/,180000,400000,1,180000,45,400000,1,180000,45,180000,45,,,,,,,,,,,,,,1,0,0,1,1,1
2,9,98,OneSole,Fashion/Beauty,One Sole - Women's Shoes,Female,Dominique McClain Barteet,http://www.onesolestore.com/,500000,2500000,1,500000,35,1428571,1,500000,35,,,,,,,,,500000,35,,,,,,1,0,0,1,1,1
2,9,99,CitiKitty,Pet Products,CitiKitty - cat Products,Female,Rebecca Rescate,http://www.citikitty.com/,100000,666667,1,100000,20,333333,1,100000,20,,,,,,,,,,,,,100000,20,Kevin Harrington,1,0,0,1,1,1
2,9,100,SamsonMartin,Fashion/Beauty,Samson Martin - Women's Apparel,Female,Kim Preis,,50000,333333,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
3,1,101,EZVIP,Media/Entertainment,EZ VIP - Entertainment,Male,Alashe Nelson,https://www.ezvip.com/,150000,1000000,1,150000,30,500000,2,75000,15,,,75000,15,,,,,75000,15,,,,,,1,1,0,1,1,1
3,1,102,TheCleanBottle,Food and Beverage,The Clean Bottle - Water Bottles,Male,Dave Mayer,http://www.cleanbottle.com/,60000,1200000,1,60000,8,750000,1,60000,8,,,60000,8,,,,,,,,,,,,1,1,0,1,1,1
3,1,103,MyWonderfulLife,Business Services,My Wonderful Life - Consumer Services,Female,Nancy Bush_ Sue Kruskopf,https://www.mywonderfullife.com/,100000,1000000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,1,104,BusinessGhost,Business Services,Business Ghost - Professional Services,Male,Michael Levin,http://businessghost.com/,200000,2000000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,2,105,IWantToDrawACatForYou,Software/Tech,I Want To Draw A Cat For You - Online Services,Male,Steve Gadlin,http://iwanttodrawacatforyou.com/,10000,40000,1,25000,33,75758,1,25000,33,,,25000,33,,,,,,,,,,,,1,1,0,1,1,1
3,2,106,Salespreneur,Business Services,Salespreneur - Professional Services,Male,Dave Greco,http://thesalespreneur.com/,90000,225000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,2,107,Invis-A-Rack,Automotive,Invis-A-Rack - Automotive,Male,Donny McCall,http://www.invisarack.com,100000,1000000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,2,108,VegasMagicShow,Media/Entertainment,Vegas Magic Show - Entertainment,Male,Rick Smith,,1500000,7500000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,3,109,YouSmellSoap,Fashion/Beauty,You Smell Soap - Personal Care and Cosmetics,Female,Megan Cummins,http://www.yousmellsoap.com/,55000,275000,1,50000,50,100000,1,50000,50,,,,,,,50000,50,,,,,,,,1,1,0,1,1,1
3,3,110,ChordBuddy,Media/Entertainment,Chord Buddy - Music,Male,Travis Perry,http://www.chordbuddy.com/,125000,1250000,1,175000,20,875000,1,175000,20,,,,,,,175000,20,,,,,,,,1,1,0,1,1,1
3,3,111,LiquidMoney,Fashion/Beauty,Liquid Money - Novelties,Male,Pat McCarthy,http://www.liquidmoney.com/,100000,2000000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,3,112,TailLightz,Electronics,Tail Lightz - Electronics,Male,Kyle Rainey,http://www.taillightz.com/,50000,100000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,4,113,WineBalloon,Food and Beverage,Wine Balloon - Wine Accessories,Male,Eric Corti,http://aircork.com/,40000,133333,1,400000,100,400000,1,400000,100,,,400000,100,,,,,,,,,,,,0,1,1,1,1,1
3,4,114,ShowNo,Fashion/Beauty,Show No - Baby and Children's Apparel and Accessories,Female,Shelly Ehler,http://showno.com/,50000,200000,1,75000,25,300000,1,75000,25,,,,,75000,25,,,,,,,,,,0,1,1,1,1,1
3,4,115,TheSwilt,Fashion/Beauty,The Swilt - Undergarments and Basics,Female,Ivori Tennelle,http://www.theswilt.com/,30000,85714,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
3,4,116,PuppyCake,Pet Products,Puppy Cake - Pet Products,Female,Kelly Chaney,http://www.puppycake.com/,50000,200000,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
3,5,117,TheLastLid,Lifestyle/Home,The Last Lid - Storage and Cleaning Products,Mixed Team,Kevin_ Melissa Kiernan,https://www.lastlid.com,40000,200000,1,40000,60,66667,1,40000,60,,,,,,,,,40000,60,,,,,,0,1,1,1,1,1
3,5,118,TalbottTeas,Food and Beverage,Talbott Teas - Specialty Food,Male,Steve Nakisher_ Shane Talbott,http://talbottteas.com/,250000,1250000,1,250000,35,714286,1,250000,35,,,,,,,,,,,250000,35,,,,0,1,1,1,1,1
3,5,119,M3GirlDesigns,Fashion/Beauty,M3 Girl Designs - Baby and Children's Apparel and Accessories,Female,Maddie_ Margot_ Diane Bradshaw,,300000,2000000,1,300000,30,1000000,3,100000,10,,,100000,10,100000,10,100000,10,,,,,,,,0,1,1,1,1,1
3,5,120,LedgePillow,Lifestyle/Home,Ledge Pillow - Novelties,Female,Am_a Schlechter,,30000,120000,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
3,6,121,ReaderestSpecsecure,Lifestyle/Home,Readerest Specsecure - Novelties,Male,Rick Hopper,,150000,1000000,1,150000,65,230769,1,150000,65,,,,,150000,65,,,,,,,,,,0,1,1,1,1,1
3,6,122,ThePaintedPretzel,Food and Beverage,The Painted Pretzel - Specialty Food,Female,Raven Thomas,http://www.thepaintedpretzel.com/,100000,400000,1,100000,25,400000,1,100000,25,,,100000,25,,,,,,,,,,,,0,1,1,1,1,1
3,6,123,EssoWatches,Fashion/Beauty,Esso Watches - Homeopathic Remedies,Male,Ryan Naylor,,35000,175000,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
3,6,124,FiveMinuteFurniture,Lifestyle/Home,Five Minute Furniture - Furniture,Male,Jared Joyce,,250000,1000000,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
3,7,125,Kisstixx,Fashion/Beauty,Kisstixx - Personal Care and Cosmetics,Male,Dallas Robinson_ Mike Buonomo,http://kisstixx.com/,200000,1000000,1,200000,40,500000,1,200000,40,,,200000,40,,,,,,,,,,,,1,1,0,1,1,1
3,7,126,TheSmartBaker,Food and Beverage,The Smart Baker - Kitchen Tools,Mixed Team,Stephanie_ Daniel Rensing,http://www.thesmartbaker.com/,75000,300000,1,75000,40,187500,1,75000,40,75000,40,,,,,,,,,,,,,,1,1,0,1,1,1
3,7,127,ScotteVest,Fashion/Beauty,ScotteVest - Men and Women's Apparel,Male,Scott Jordan,http://www.scottevest.com/,500000,3333333,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,7,128,TheHeatHelper,Lifestyle/Home,The Heat Helper - Home Accessories,Male,Lyle Schuette,https://www.heat-helper.com/,100000,200000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,8,129,Litter,Fashion/Beauty,Litter - Women's Accessories,Female,Rachel Mann_ Mackenzie Burdick,http://littersf.com/,80000,156863,1,80000,51,156863,2,40000,25.5,,,40000,25.5,,,,,40000,25.5,,,,,,1,1,0,1,1,1
3,8,130,Nardo'sNatural,Fashion/Beauty,Nardo's Natural - Personal Care and Cosmetics,Male,Kyle_ KJ_ Danny_ DJ Nardo,http://www.nardosnatural.com/,75000,625000,1,75000,50,150000,1,40000,25.5,75000,50,,,,,,,,,,,,,,1,1,0,1,1,1
3,8,131,TheOriginalProfender,Fitness/Sports/Outdoors,The Original Profender - Fitness Equipment,Male,Tony Devine,http://www.theoriginalprofender.com/,75000,500000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,8,132,Rent-A-Grandma,Lifestyle/Home,Rent-A-Grandma - Consumer Services,Male,Todd Colby Pliss,http://rentagrandma.com/,150000,750000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,9,133,TowerPaddleBoards,Fitness/Sports/Outdoors,Tower Paddle Boards - Outdoor Recreation,Male,Stephan Aarstol,http://www.towerpaddleboards.com/,150000,1500000,1,150000,30,500000,1,150000,30,,,150000,30,,,,,,,,,,,,1,1,0,1,1,1
3,9,134,MisoMedia,Media/Entertainment,Miso Media - Music,Male,Aviv Grill,,300000,6000000,1,300000,8,3750000,1,300000,8,,,300000,8,,,,,,,,,,,,1,1,0,1,1,1
3,9,135,InstantLifts,Fashion/Beauty,Instant Lifts - Personal Care and Cosmetics,Mixed Team,Nick_ Penilopee Larosa,http://www.instantthighlift.com/,100000,400000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,9,136,Vinamor,Food and Beverage,Vinamor - Wine Accessories,Male,Gary DeJohn,http://www.thevinamor.com/,75000,250000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,10,137,GoGoGear,Fitness/Sports/Outdoors,GoGo Gear - Men and Women's Apparel,Female,Arlene Battishill_ Desiree Estrada,http://www.gogogearla.com/,300000,2000000,1,300000,50,600000,1,300000,50,,,,,,,,,300000,50,,,,,,1,1,0,1,1,1
3,10,138,TheAveVenice,Fashion/Beauty,The Ave Venice - Men and Women's Shoes,Male,Nick Romero,http://www.theavevenice.com/,125000,833333,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,10,139,Brewer'sCow,Food and Beverage,Brewer’s Cow - Specialty Food,Male,Steve Albert_ Larry Blackwell_ Jason Conroy,http://www.thebrewerscow.com/,125000,833333,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,10,140,Bark'em'sToGo,Pet Products,Bark’em’s To Go - Pet Products,Male,Blake St. Clair,http://www.barkems.com/,100000,196078,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,11,141,ViewSport,Fitness/Sports/Outdoors,ViewSport - Fitness Apparel and Accessories,Male,Ben Wood,http://www.viewsport.us,500000,2500000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,11,142,BlondiesCookies,Food and Beverage,Blondies Cookies - Specialty Food,Female,"Brenda ""Blondie"" Coffman",http://www.blondiescookies.com/,200000,6666667,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,11,143,CopadiVino,Food and Beverage,Copa di Vino - Alcoholic Beverages,Male,James Martin,http://www.copadivino.com/,300000,6000000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,11,144,TheSullivanGenerator,Green/CleanTech,The Sullivan Generator - Novelties,Male,Mark Sullivan,http://marksullivanresearch.com,1000000,10000000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,12,145,Lollacup,Children/Education,Lollacup - Baby and Child Care,Mixed Team,Mark_ Hannah Lim,http://www.lollaland.com/,100000,666667,1,100000,40,250000,2,50000,20,,,50000,20,,,50000,20,,,,,,,,0,1,1,1,1,1
3,12,146,NailPak,Fashion/Beauty,Nail Pak - Personal Care and Cosmetics,Female,Barbara Lampugnale,,50000,250000,1,50000,40,125000,1,50000,40,,,,,50000,40,,,,,,,,,,0,1,1,1,1,1
3,12,147,DebbieBrooksHandbags,Fashion/Beauty,Debbie Brooks Handbags - Women's Accessories,Mixed Team,Paul d'Auriac_ Debbie Brooks,http://www.debbiebrooks.com/,540000,2700000,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
3,12,148,TrimiTank,Fashion/Beauty,Trimi Tank - Women's Apparel,Female,Nicole Bilsky_ Lindsay Johnson,http://www.trimitank.com/,57000,190000,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
3,13,149,VillyCustoms,Fitness/Sports/Outdoors,Villy Customs - Cycling,Male,Fleetwood Hicks,http://www.villycustoms.com/,500000,1515152,1,500000,42,1190476,2,250000,21,250000,21,250000,21,,,,,,,,,,,,1,1,0,1,1,1
3,13,150,BootIllusions,Fashion/Beauty,Boot Illusions - Women's Shoes,Mixed Team,Drew Goodrum_ Queenie Davis,,100000,333333,1,500000,40,1250000,2,250000,20,250000,20,250000,20,,,,,,,,,,,,1,1,0,1,1,1
3,13,151,AirBedz,Travel,AirBedz - Furniture,Male,Jim Pittman,http://www.truckairbedz.com/,250000,1666667,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,13,152,Skyride,Fitness/Sports/Outdoors,Skyride - Outdoor Recreation,Male,Scotty Olson,http://skyridetechnology.com/,3000000,15000000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,14,153,DanceWithMe,Fitness/Sports/Outdoors,Dance With Me - Fitness Programs,Male,Billy Blanks_ Jr.,,100000,500000,1,100000,50,200000,2,50000,25,,,50000,25,,,,,50000,25,,,,,,1,1,0,1,1,1
3,14,154,WildSquirrelNutButter,Food and Beverage,Wild Squirrel Nut Butter - Specialty Food,Female,Erika Welsh_ Keeley Tillotson,https://www.wildfriendsfoods.com/,50000,500000,1,50000,40,125000,1,50000,40,50000,40,,,,,,,,,,,,,,1,1,0,1,1,1
3,14,155,MixBikini,Fashion/Beauty,Mix Bikini - Women's Apparel,Male,Frank Scozzafava_ Adam DiSilvestro,,50000,1000000,1,50000,25,200000,1,50000,25,50000,25,,,,,,,,,,,,,,1,1,0,1,1,1
3,14,156,Cab20RockBand,Media/Entertainment,Cab20 Rock Band - Entertainment,Male,Tom Callahan,http://mockrecords.com/cab-20,200000,1000000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,15,157,RemyxxReKixxSneakers,Fashion/Beauty,Remyxx ReKixx Sneakers - Men and Women's Shoes,Male,Gary Gagnon,http://www.rekixx.com/,50000,500000,1,50000,80,62500,1,50000,80,,,,,,,,,50000,80,,,,,,1,1,0,1,1,1
3,15,158,UniKeyTechnologies,Software/Tech,UniKey Technologies - Electronics,Male,Phil Dumas,http://www.unikey.com/,500000,1515152,1,500000,40,1250000,2,250000,20,,,250000,20,,,,,,,250000,20,,,,1,1,0,1,1,1
3,15,159,TheNitroForceTitan1000,Fitness/Sports/Outdoors,The NitroForce Titan 1000 - Fitness Equipment,Mixed Team,Frank Campitelli_ Debrae Barensfeld,http://www.thenitroforce.com/,250000,2500000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
3,15,160,CougarLimited,Food and Beverage,Cougar Limited - Non-Alcoholic Beverages,Male,Ryan Custer,http://drinkcougar.com/,150000,500000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,1,161,BevBuckle,Liquor/Alcohol,Bev Buckle - Novelties,Male,Jay Kriner,http://www.thebeerbuckle.com,50000,500000,1,50000,51,98039,1,50000,51,50000,51,,,,,,,,,,,,,,1,1,0,1,1,1
4,1,162,BuggyBeds,Lifestyle/Home,Buggy Beds - Pest Control,Female,Maria Curcio_ Veronica Periongo,http://www.buggybeds.com,125000,1785714,1,250000,25,1000000,5,50000,5,50000,5,50000,5,,,50000,5,50000,5,50000,5,,,,1,1,0,1,1,1
4,1,163,CoatChex,Business Services,Coat Chex - Consumer Services,Male,Derek Pacque,http://www.coatchex.com,200000,2000000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,1,164,BodyWalking,Fashion/Beauty,Body Walking - Fitness Programs,Male,Todd Miller,http://www.bodywalking.com,100000,1000000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,2,165,SurfSetFitness,Fitness/Sports/Outdoors,SurfSet Fitness - Fitness Programs,Mixed Team,Mike Hartwick_ Sarah Ponn,http://www.surfsetfitness.com/,150000,1500000,1,300000,30,1000000,1,300000,30,,,300000,30,,,,,,,,,,,,1,1,0,1,1,1
4,2,166,CATEapp,Software/Tech,CateApp - Mobile Apps,Male,Neal Desai,,50000,1000000,1,75000,30,250000,2,37500,15,,,,,,,,,37500,15,37500,15,,,,1,1,0,1,1,1
4,2,167,AlphaM,Business Services,Alpha M - Consumer Services,Male,Aaron Marino,http://www.aaronmarino.com/,50000,500000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,2,168,eCreamery,Food and Beverage,eCreamery - Specialty Food,Female,Abby Jordan_ Becky App,http://ecreamery.com/,250000,757576,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,3,169,RockBands,Fashion/Beauty,Rock Bands - Men and Women's Accessories,Male,Lee Dahlberg,http://www.leatherrockbands.com/,100000,500000,1,100000,40,250000,2,50000,20,,,50000,20,,,,,50000,20,,,,,,1,1,0,1,1,1
4,3,170,PostureNow,Health/Wellness,Posture Now - Health and Well-Being,Male,Mike Lane_ Mark Franklin,http://www.posturenow.com/,100000,666667,1,100000,30,333333,1,100000,30,,,100000,30,,,,,,,,,,,,1,1,0,1,1,1
4,3,171,FuzziBunz,Children/Education,FuzziBunz - Baby and Child Care,Female,Tereson Dupuy,http://fuzzibunz.com/,500000,3333333,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,3,172,LizLovelyCookies,Food and Beverage,Liz Lovely Cookies - Specialty Food,Mixed Team,Liz_ Dan Holtz,http://lizlovely.com/,200000,2000000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,4,173,BagBowl,Lifestyle/Home,Bag Bowl - Kitchen Tools,Male,Brian_ Kevin Fleming,http://www.buybagbowl.com,40000,121212,1,40000,33,121212,1,40000,33,,,,,40000,33,,,,,,,,,,0,1,1,1,1,1
4,4,174,Back9Dips,Food and Beverage,Back 9 Dips - Specialty Food,Mixed Team,David_ Nique Mealy,http://www.back9dips.com,150000,1000000,1,150000,25,600000,2,75000,12.5,,,,,75000,12.5,75000,12.5,,,,,,,,0,1,1,1,1,1
4,4,175,LifterHamper,Lifestyle/Home,Lifter Hamper - Productivity Tools,Male,Marvin Philip,www.householdessential.com,85000,708333,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
4,4,176,Zomm,Lifestyle/Home,Zomm - Mobile Apps,Male,Henry Penix,http://www.zomm.com,2000000,20000000,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
4,5,177,CozyBug,Fashion/Beauty,Cozy Bug - Baby and Children's Apparel and Accessories,Female,Aly Lessor,http://www.cozybugusa.com,50000,200000,1,50000,30,166667,1,50000,30,,,,,,,,,50000,30,,,,,,0,1,1,1,1,1
4,5,178,MarzSprays,Health/Wellness,Marz Sprays - Homeopathic Remedies,Male,Br_on_ Keith Marz,http://marzsprays.com,200000,2000000,1,200000,25,800000,1,200000,25,,,,,200000,25,,,,,,,,,,0,1,1,1,1,1
4,5,179,WiredWaffles,Food and Beverage,Wired Waffles - Specialty Food,Male,Roger Sullivan,http://www.wiredwaffles.com,75000,300000,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
4,5,180,TheSpatty,Food and Beverage,The Spatty and The Spaddy Dadd - Personal Care and Cosmetics,Female,Cheryl Rigdon,http://www.thespatty.com,50000,125000,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
4,6,181,PRO-NRG,Food and Beverage,PRO-NRG - Non-Alcoholic Beverages,Mixed Team,Tania Patruno_ Br_on Jacobs,http://www.pronrgusa.com,250000,1666667,1,250000,30,833333,1,250000,30,,,,,,,,,250000,30,,,,,,1,1,0,1,1,1
4,6,182,CousinsMaineLobster,Food and Beverage,Cousins Maine Lobster - Specialty Food,Male,Jim Tselikis_ Sabin Lomac,http://www.cousinsmainelobster.com,55000,1100000,1,55000,15,366667,1,55000,15,55000,15,,,,,,,,,,,,,,1,1,0,1,1,1
4,6,183,FreakerUSA,Food and Beverage,Freaker USA - Novelties,Male,Zach Crain,http://www.freakerusa.com,200000,2000000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,6,184,EcoNutsSoap,Lifestyle/Home,EcoNutsSoap - Storage and Cleaning Products,Mixed Team,Mona Weiss_ Scott Shields,http://econutssoap.com,175000,1166667,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,7,185,SBU,Fitness/Sports/Outdoors,SBU - Cycling,Male,Daniel Wood_ David Martschinske,http://focusdesigns.com/,300000,3000000,1,300000,33,909091,2,150000,16.5,,,,,,,150000,16.5,,,150000,16.5,,,,0,1,1,1,1,1
4,7,186,ScrubDaddy,Lifestyle/Home,Scrub Daddy - Kitchen Tools,Male,Aaron Krause,http://scrubdaddy.com,100000,1000000,1,200000,20,1000000,1,200000,20,,,,,200000,20,,,,,,,,,,0,1,1,1,1,1
4,7,187,TheShemie,Fashion/Beauty,The Shemie - Undergarments and Basics,Male,Shelton Wilder,http://www.theshemie.com,60000,300000,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
4,7,188,TheBear&TheRat,Pet Products,The Bear & The Rat - Pet Products,Mixed Team,Matt_ Meg Meyer,http://cooltreatsfordogs.com,125000,625000,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
4,8,189,TheCoolWazoo,Children/Education,The Cool Wazoo - Baby and Child Care,Female,Ginelle Mills,http://www.thecoolwazoo.com,65000,260000,1,65000,35,185714,1,65000,35,,,,,65000,35,,,,,,,,,,0,1,1,1,1,1
4,8,190,PlateTopper,Food and Beverage,Plate Topper - Kitchen Tools,Male,Michael Tseng,,90000,1800000,1,90000,8,1125000,1,90000,8,,,,,90000,8,,,,,,,,,,0,1,1,1,1,1
4,8,191,NoFlyCone,Pet Products,No Fly Cone - Pest Control,Male,Bruce Gaither,http://noflycone.com,25000,166667,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
4,9,192,DriveSuits,Uncertain/Other,Drive Suits - Costumes,Male,Drew Beaumier,http://www.drivesuits.com,150000,750000,1,150000,30,500000,1,150000,30,,,,,,,,,,,150000,30,,,,1,1,0,1,1,1
4,9,193,IceChipsCandy,Food and Beverage,Ice Chips Candy - Specialty Food,Female,Beverly Vines-Haines_ Charlotte Clary,https://www.icechipscandy.com,250000,1666667,1,125000,20,625000,2,62500,10,62500,10,62500,10,,,,,,,,,,,,1,1,0,1,1,1
4,9,194,ReVestor,Software/Tech,ReVestor - Online Services,Male,Bill Lyons,http://www.revestor.com,250000,2500000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,9,195,PCClassesOnline,Software/Tech,PC Classes Online - Online Services,Male,David A. Cox,http://pcclassesonline.com,150000,1000000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,10,196,RuckPack,Fashion/Beauty,Ruck Pack Combat Nutrition - Specialty Food,Male,Rob Dyer,http://www.ruckpack.com,75000,750000,1,150000,20,750000,2,75000,10,,,,,,,75000,10,,,75000,10,,,,1,1,0,1,1,1
4,10,197,NearlyNewlywed,Fashion/Beauty,Nearly Newlywed - Weddings,Female,Jackie Courtney,http://www.nearlynewlywed.com,35000,350000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,10,198,TieTry,Fashion/Beauty,Tie Try - Men's Accessories,Male,David Powers_ Scott Tindel,,100000,400000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,10,199,CorksAway,Food and Beverage,Corks Away - Entertainment,Male,Shane Cianciolo_ Nathan Buffett,,105000,525000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,11,200,TheLivingChristmasCompany,Lifestyle/Home,The Living Christmas Company - Holiday Cheer,Male,Scott Martin,http://www.livingchristmas.com,150000,500000,1,150000,40,375000,1,150000,40,,,150000,40,,,,,,,,,,,,1,1,0,1,1,1
4,11,201,TheCoop,Children/Education,The Coop - Baby and Children's Entertainment,Female,Lucinda Lent_ Juliet Boydstun,http://www.thecoop-la.com,150000,1000000,1,150000,15,1000000,1,150000,15,150000,15,,,,,,,,,,,,,,1,1,0,1,1,1
